C7FB  A9 10     LDA A:40 X:00 Y:00 P:65 SP:FB PPU:271
C7FD  18        CLC A:10 X:00 Y:00 P:65 SP:FB PPU:277
C7FE  08        PHP A:10 X:00 Y:00 P:64 SP:FB PPU:283
C7FF  68        PLA A:10 X:00 Y:00 P:64 SP:FA PPU:292
C800  29 EF     AND A:74 X:00 Y:00 P:64 SP:FB PPU:304
C802  C9 64     CMP A:64 X:00 Y:00 P:64 SP:FB PPU:310
C804  F0 04     BEQ A:64 X:00 Y:00 P:67 SP:FB PPU:316
C80A  EA        NOP A:64 X:00 Y:00 P:67 SP:FB PPU:325
C80B  A9 80     LDA A:64 X:00 Y:00 P:67 SP:FB PPU:331
C80D  85 01     STA A:80 X:00 Y:00 P:E5 SP:FB PPU:337
C80F  24 01     BIT A:80 X:00 Y:00 P:E5 SP:FB PPU:  5
C811  F8        SED A:80 X:00 Y:00 P:A5 SP:FB PPU: 14
C812  A9 00     LDA A:80 X:00 Y:00 P:AD SP:FB PPU: 20
C814  38        SEC A:00 X:00 Y:00 P:2F SP:FB PPU: 26
C815  08        PHP A:00 X:00 Y:00 P:2F SP:FB PPU: 32
C816  68        PLA A:00 X:00 Y:00 P:2F SP:FA PPU: 41
C817  29 EF     AND A:3F X:00 Y:00 P:2D SP:FB PPU: 53
C819  C9 2F     CMP A:2F X:00 Y:00 P:2D SP:FB PPU: 59
C81B  F0 04     BEQ A:2F X:00 Y:00 P:2F SP:FB PPU: 65
C821  EA        NOP A:2F X:00 Y:00 P:2F SP:FB PPU: 74
C822  A9 FF     LDA A:2F X:00 Y:00 P:2F SP:FB PPU: 80
C824  48        PHA A:FF X:00 Y:00 P:AD SP:FB PPU: 86
C825  28        PLP A:FF X:00 Y:00 P:AD SP:FA PPU: 95
C826  D0 09     BNE A:FF X:00 Y:00 P:EF SP:FB PPU:107
C828  10 07     BPL A:FF X:00 Y:00 P:EF SP:FB PPU:113
C82A  50 05     BVC A:FF X:00 Y:00 P:EF SP:FB PPU:119
C82C  90 03     BCC A:FF X:00 Y:00 P:EF SP:FB PPU:125
C82E  4C 35 C8  JMP A:FF X:00 Y:00 P:EF SP:FB PPU:131
C835  EA        NOP A:FF X:00 Y:00 P:EF SP:FB PPU:140
C836  A9 04     LDA A:FF X:00 Y:00 P:EF SP:FB PPU:146
C838  48        PHA A:04 X:00 Y:00 P:6D SP:FB PPU:152
C839  28        PLP A:04 X:00 Y:00 P:6D SP:FA PPU:161
C83A  F0 09     BEQ A:04 X:00 Y:00 P:24 SP:FB PPU:173
C83C  30 07     BMI A:04 X:00 Y:00 P:24 SP:FB PPU:179
C83E  70 05     BVS A:04 X:00 Y:00 P:24 SP:FB PPU:185
C840  B0 03     BCS A:04 X:00 Y:00 P:24 SP:FB PPU:191
C842  4C 49 C8  JMP A:04 X:00 Y:00 P:24 SP:FB PPU:197
C849  EA        NOP A:04 X:00 Y:00 P:24 SP:FB PPU:206
C84A  F8        SED A:04 X:00 Y:00 P:24 SP:FB PPU:212
C84B  A9 FF     LDA A:04 X:00 Y:00 P:2C SP:FB PPU:218
C84D  85 01     STA A:FF X:00 Y:00 P:AC SP:FB PPU:224
C84F  24 01     BIT A:FF X:00 Y:00 P:AC SP:FB PPU:233
C851  18        CLC A:FF X:00 Y:00 P:EC SP:FB PPU:242
C852  A9 00     LDA A:FF X:00 Y:00 P:EC SP:FB PPU:248
C854  48        PHA A:00 X:00 Y:00 P:6E SP:FB PPU:254
C855  A9 FF     LDA A:00 X:00 Y:00 P:6E SP:FA PPU:263
C857  68        PLA A:FF X:00 Y:00 P:EC SP:FA PPU:269
C858  D0 09     BNE A:00 X:00 Y:00 P:6E SP:FB PPU:281
C85A  30 07     BMI A:00 X:00 Y:00 P:6E SP:FB PPU:287
C85C  50 05     BVC A:00 X:00 Y:00 P:6E SP:FB PPU:293
C85E  B0 03     BCS A:00 X:00 Y:00 P:6E SP:FB PPU:299
C860  4C 67 C8  JMP A:00 X:00 Y:00 P:6E SP:FB PPU:305
C867  EA        NOP A:00 X:00 Y:00 P:6E SP:FB PPU:314
C868  A9 00     LDA A:00 X:00 Y:00 P:6E SP:FB PPU:320
C86A  85 01     STA A:00 X:00 Y:00 P:6E SP:FB PPU:326
C86C  24 01     BIT A:00 X:00 Y:00 P:6E SP:FB PPU:335
C86E  38        SEC A:00 X:00 Y:00 P:2E SP:FB PPU:  3
C86F  A9 FF     LDA A:00 X:00 Y:00 P:2F SP:FB PPU:  9
C871  48        PHA A:FF X:00 Y:00 P:AD SP:FB PPU: 15
C872  A9 00     LDA A:FF X:00 Y:00 P:AD SP:FA PPU: 24
C874  68        PLA A:00 X:00 Y:00 P:2F SP:FA PPU: 30
C875  F0 09     BEQ A:FF X:00 Y:00 P:AD SP:FB PPU: 42
C877  10 07     BPL A:FF X:00 Y:00 P:AD SP:FB PPU: 48
C879  70 05     BVS A:FF X:00 Y:00 P:AD SP:FB PPU: 54
C87B  90 03     BCC A:FF X:00 Y:00 P:AD SP:FB PPU: 60
C87D  4C 84 C8  JMP A:FF X:00 Y:00 P:AD SP:FB PPU: 66
C884  60        RTS A:FF X:00 Y:00 P:AD SP:FB PPU: 75
C603  20 85 C8  JSR A:FF X:00 Y:00 P:AD SP:FD PPU: 93
C885  EA        NOP A:FF X:00 Y:00 P:AD SP:FB PPU:111
C886  18        CLC A:FF X:00 Y:00 P:AD SP:FB PPU:117
C887  A9 FF     LDA A:FF X:00 Y:00 P:AC SP:FB PPU:123
C889  85 01     STA A:FF X:00 Y:00 P:AC SP:FB PPU:129
C88B  24 01     BIT A:FF X:00 Y:00 P:AC SP:FB PPU:138
C88D  A9 55     LDA A:FF X:00 Y:00 P:EC SP:FB PPU:147
C88F  09 AA     ORA A:55 X:00 Y:00 P:6C SP:FB PPU:153
C891  B0 0B     BCS A:FF X:00 Y:00 P:EC SP:FB PPU:159
C893  10 09     BPL A:FF X:00 Y:00 P:EC SP:FB PPU:165
C895  C9 FF     CMP A:FF X:00 Y:00 P:EC SP:FB PPU:171
C897  D0 05     BNE A:FF X:00 Y:00 P:6F SP:FB PPU:177
C899  50 03     BVC A:FF X:00 Y:00 P:6F SP:FB PPU:183
C89B  4C A2 C8  JMP A:FF X:00 Y:00 P:6F SP:FB PPU:189
C8A2  EA        NOP A:FF X:00 Y:00 P:6F SP:FB PPU:198
C8A3  38        SEC A:FF X:00 Y:00 P:6F SP:FB PPU:204
C8A4  B8        CLV A:FF X:00 Y:00 P:6F SP:FB PPU:210
C8A5  A9 00     LDA A:FF X:00 Y:00 P:2F SP:FB PPU:216
C8A7  09 00     ORA A:00 X:00 Y:00 P:2F SP:FB PPU:222
C8A9  D0 09     BNE A:00 X:00 Y:00 P:2F SP:FB PPU:228
C8AB  70 07     BVS A:00 X:00 Y:00 P:2F SP:FB PPU:234
C8AD  90 05     BCC A:00 X:00 Y:00 P:2F SP:FB PPU:240
C8AF  30 03     BMI A:00 X:00 Y:00 P:2F SP:FB PPU:246
C8B1  4C B8 C8  JMP A:00 X:00 Y:00 P:2F SP:FB PPU:252
C8B8  EA        NOP A:00 X:00 Y:00 P:2F SP:FB PPU:261
C8B9  18        CLC A:00 X:00 Y:00 P:2F SP:FB PPU:267
C8BA  24 01     BIT A:00 X:00 Y:00 P:2E SP:FB PPU:273
C8BC  A9 55     LDA A:00 X:00 Y:00 P:EE SP:FB PPU:282
C8BE  29 AA     AND A:55 X:00 Y:00 P:6C SP:FB PPU:288
C8C0  D0 09     BNE A:00 X:00 Y:00 P:6E SP:FB PPU:294
C8C2  50 07     BVC A:00 X:00 Y:00 P:6E SP:FB PPU:300
C8C4  B0 05     BCS A:00 X:00 Y:00 P:6E SP:FB PPU:306
C8C6  30 03     BMI A:00 X:00 Y:00 P:6E SP:FB PPU:312
C8C8  4C CF C8  JMP A:00 X:00 Y:00 P:6E SP:FB PPU:318
C8CF  EA        NOP A:00 X:00 Y:00 P:6E SP:FB PPU:327
C8D0  38        SEC A:00 X:00 Y:00 P:6E SP:FB PPU:333
C8D1  B8        CLV A:00 X:00 Y:00 P:6F SP:FB PPU:339
C8D2  A9 F8     LDA A:00 X:00 Y:00 P:2F SP:FB PPU:  4
C8D4  29 EF     AND A:F8 X:00 Y:00 P:AD SP:FB PPU: 10
C8D6  90 0B     BCC A:E8 X:00 Y:00 P:AD SP:FB PPU: 16
C8D8  10 09     BPL A:E8 X:00 Y:00 P:AD SP:FB PPU: 22
C8DA  C9 E8     CMP A:E8 X:00 Y:00 P:AD SP:FB PPU: 28
C8DC  D0 05     BNE A:E8 X:00 Y:00 P:2F SP:FB PPU: 34
C8DE  70 03     BVS A:E8 X:00 Y:00 P:2F SP:FB PPU: 40
C8E0  4C E7 C8  JMP A:E8 X:00 Y:00 P:2F SP:FB PPU: 46
C8E7  EA        NOP A:E8 X:00 Y:00 P:2F SP:FB PPU: 55
C8E8  18        CLC A:E8 X:00 Y:00 P:2F SP:FB PPU: 61
C8E9  24 01     BIT A:E8 X:00 Y:00 P:2E SP:FB PPU: 67
C8EB  A9 5F     LDA A:E8 X:00 Y:00 P:EC SP:FB PPU: 76
C8ED  49 AA     EOR A:5F X:00 Y:00 P:6C SP:FB PPU: 82
C8EF  B0 0B     BCS A:F5 X:00 Y:00 P:EC SP:FB PPU: 88
C8F1  10 09     BPL A:F5 X:00 Y:00 P:EC SP:FB PPU: 94
C8F3  C9 F5     CMP A:F5 X:00 Y:00 P:EC SP:FB PPU:100
C8F5  D0 05     BNE A:F5 X:00 Y:00 P:6F SP:FB PPU:106
C8F7  50 03     BVC A:F5 X:00 Y:00 P:6F SP:FB PPU:112
C8F9  4C 00 C9  JMP A:F5 X:00 Y:00 P:6F SP:FB PPU:118
C900  EA        NOP A:F5 X:00 Y:00 P:6F SP:FB PPU:127
C901  38        SEC A:F5 X:00 Y:00 P:6F SP:FB PPU:133
C902  B8        CLV A:F5 X:00 Y:00 P:6F SP:FB PPU:139
C903  A9 70     LDA A:F5 X:00 Y:00 P:2F SP:FB PPU:145
C905  49 70     EOR A:70 X:00 Y:00 P:2D SP:FB PPU:151
C907  D0 09     BNE A:00 X:00 Y:00 P:2F SP:FB PPU:157
C909  70 07     BVS A:00 X:00 Y:00 P:2F SP:FB PPU:163
C90B  90 05     BCC A:00 X:00 Y:00 P:2F SP:FB PPU:169
C90D  30 03     BMI A:00 X:00 Y:00 P:2F SP:FB PPU:175
C90F  4C 16 C9  JMP A:00 X:00 Y:00 P:2F SP:FB PPU:181
C916  EA        NOP A:00 X:00 Y:00 P:2F SP:FB PPU:190
C917  18        CLC A:00 X:00 Y:00 P:2F SP:FB PPU:196
C918  24 01     BIT A:00 X:00 Y:00 P:2E SP:FB PPU:202
C91A  A9 00     LDA A:00 X:00 Y:00 P:EE SP:FB PPU:211
C91C  69 69     ADC A:00 X:00 Y:00 P:6E SP:FB PPU:217
C91E  30 0B     BMI A:69 X:00 Y:00 P:2C SP:FB PPU:223
C920  B0 09     BCS A:69 X:00 Y:00 P:2C SP:FB PPU:229
C922  C9 69     CMP A:69 X:00 Y:00 P:2C SP:FB PPU:235
C924  D0 05     BNE A:69 X:00 Y:00 P:2F SP:FB PPU:241
C926  70 03     BVS A:69 X:00 Y:00 P:2F SP:FB PPU:247
C928  4C 2F C9  JMP A:69 X:00 Y:00 P:2F SP:FB PPU:253
C92F  EA        NOP A:69 X:00 Y:00 P:2F SP:FB PPU:262
C930  38        SEC A:69 X:00 Y:00 P:2F SP:FB PPU:268
C931  F8        SED A:69 X:00 Y:00 P:2F SP:FB PPU:274
C932  24 01     BIT A:69 X:00 Y:00 P:2F SP:FB PPU:280
C934  A9 01     LDA A:69 X:00 Y:00 P:ED SP:FB PPU:289
C936  69 69     ADC A:01 X:00 Y:00 P:6D SP:FB PPU:295
C938  30 0B     BMI A:6B X:00 Y:00 P:2C SP:FB PPU:301
C93A  B0 09     BCS A:6B X:00 Y:00 P:2C SP:FB PPU:307
C93C  C9 6B     CMP A:6B X:00 Y:00 P:2C SP:FB PPU:313
C93E  D0 05     BNE A:6B X:00 Y:00 P:2F SP:FB PPU:319
C940  70 03     BVS A:6B X:00 Y:00 P:2F SP:FB PPU:325
C942  4C 49 C9  JMP A:6B X:00 Y:00 P:2F SP:FB PPU:331
C949  EA        NOP A:6B X:00 Y:00 P:2F SP:FB PPU:340
C94A  D8        CLD A:6B X:00 Y:00 P:2F SP:FB PPU:  5
C94B  38        SEC A:6B X:00 Y:00 P:27 SP:FB PPU: 11
C94C  B8        CLV A:6B X:00 Y:00 P:27 SP:FB PPU: 17
C94D  A9 7F     LDA A:6B X:00 Y:00 P:27 SP:FB PPU: 23
C94F  69 7F     ADC A:7F X:00 Y:00 P:25 SP:FB PPU: 29
C951  10 0B     BPL A:FF X:00 Y:00 P:E4 SP:FB PPU: 35
C953  B0 09     BCS A:FF X:00 Y:00 P:E4 SP:FB PPU: 41
C955  C9 FF     CMP A:FF X:00 Y:00 P:E4 SP:FB PPU: 47
C957  D0 05     BNE A:FF X:00 Y:00 P:67 SP:FB PPU: 53
C959  50 03     BVC A:FF X:00 Y:00 P:67 SP:FB PPU: 59
C95B  4C 62 C9  JMP A:FF X:00 Y:00 P:67 SP:FB PPU: 65
C962  EA        NOP A:FF X:00 Y:00 P:67 SP:FB PPU: 74
C963  18        CLC A:FF X:00 Y:00 P:67 SP:FB PPU: 80
C964  24 01     BIT A:FF X:00 Y:00 P:66 SP:FB PPU: 86
C966  A9 7F     LDA A:FF X:00 Y:00 P:E4 SP:FB PPU: 95
C968  69 80     ADC A:7F X:00 Y:00 P:64 SP:FB PPU:101
C96A  10 0B     BPL A:FF X:00 Y:00 P:A4 SP:FB PPU:107
C96C  B0 09     BCS A:FF X:00 Y:00 P:A4 SP:FB PPU:113
C96E  C9 FF     CMP A:FF X:00 Y:00 P:A4 SP:FB PPU:119
C970  D0 05     BNE A:FF X:00 Y:00 P:27 SP:FB PPU:125
C972  70 03     BVS A:FF X:00 Y:00 P:27 SP:FB PPU:131
C974  4C 7B C9  JMP A:FF X:00 Y:00 P:27 SP:FB PPU:137
C97B  EA        NOP A:FF X:00 Y:00 P:27 SP:FB PPU:146
C97C  38        SEC A:FF X:00 Y:00 P:27 SP:FB PPU:152
C97D  B8        CLV A:FF X:00 Y:00 P:27 SP:FB PPU:158
C97E  A9 7F     LDA A:FF X:00 Y:00 P:27 SP:FB PPU:164
C980  69 80     ADC A:7F X:00 Y:00 P:25 SP:FB PPU:170
C982  D0 09     BNE A:00 X:00 Y:00 P:27 SP:FB PPU:176
C984  30 07     BMI A:00 X:00 Y:00 P:27 SP:FB PPU:182
C986  70 05     BVS A:00 X:00 Y:00 P:27 SP:FB PPU:188
C988  90 03     BCC A:00 X:00 Y:00 P:27 SP:FB PPU:194
C98A  4C 91 C9  JMP A:00 X:00 Y:00 P:27 SP:FB PPU:200
C991  EA        NOP A:00 X:00 Y:00 P:27 SP:FB PPU:209
C992  38        SEC A:00 X:00 Y:00 P:27 SP:FB PPU:215
C993  B8        CLV A:00 X:00 Y:00 P:27 SP:FB PPU:221
C994  A9 9F     LDA A:00 X:00 Y:00 P:27 SP:FB PPU:227
C996  F0 09     BEQ A:9F X:00 Y:00 P:A5 SP:FB PPU:233
C998  10 07     BPL A:9F X:00 Y:00 P:A5 SP:FB PPU:239
C99A  70 05     BVS A:9F X:00 Y:00 P:A5 SP:FB PPU:245
C99C  90 03     BCC A:9F X:00 Y:00 P:A5 SP:FB PPU:251
C99E  4C A5 C9  JMP A:9F X:00 Y:00 P:A5 SP:FB PPU:257
C9A5  EA        NOP A:9F X:00 Y:00 P:A5 SP:FB PPU:266
C9A6  18        CLC A:9F X:00 Y:00 P:A5 SP:FB PPU:272
C9A7  24 01     BIT A:9F X:00 Y:00 P:A4 SP:FB PPU:278
C9A9  A9 00     LDA A:9F X:00 Y:00 P:E4 SP:FB PPU:287
C9AB  D0 09     BNE A:00 X:00 Y:00 P:66 SP:FB PPU:293
C9AD  30 07     BMI A:00 X:00 Y:00 P:66 SP:FB PPU:299
C9AF  50 05     BVC A:00 X:00 Y:00 P:66 SP:FB PPU:305
